,Modelo,Cut-Off,Predichas,Acertadas,Ratio,Balance
339,cp_1_36.ckpt,0.5,1360,991,72.86764705882354,1291446707274.8823
340,cp_1_36.ckpt,0.5,1360,991,72.86764705882354,1291446707274.8823
341,cp_1_37.ckpt,0.5,1435,879,61.254355400696866,7195959527.867573
342,cp_1_37.ckpt,0.5,2002,1201,59.99000999000999,8342529356160.409
343,cp_1_37.ckpt,0.5,2163,1258,58.15996301433194,15815385776077.365
344,cp_1_37.ckpt,0.5,2177,1261,57.92374827744602,15473145328330.805
345,cp_1_38.ckpt,0.5,832,608,73.07692307692308,67191789.95014943
346,cp_1_38.ckpt,0.5,1115,812,72.82511210762331,12626716326.446856
347,cp_1_38.ckpt,0.5,1134,825,72.75132275132275,17457639151.699646
348,cp_1_38.ckpt,0.5,1134,825,72.75132275132275,17457639151.699646
349,cp_1_39.ckpt,0.5,1416,939,66.3135593220339,93786822281.38869
350,cp_1_39.ckpt,0.5,1933,1277,66.0631143300569,338706557226735.75
351,cp_1_39.ckpt,0.5,2032,1329,65.40354330708661,982230544401491.1
352,cp_1_39.ckpt,0.5,2034,1329,65.33923303834808,962684156567901.5
353,cp_1_40.ckpt,0.5,1149,803,69.88685813751088,6281578175.223658
354,cp_1_40.ckpt,0.5,1568,1091,69.57908163265306,8383009848476.217
355,cp_1_40.ckpt,0.5,1625,1123,69.1076923076923,16790786206340.68
356,cp_1_40.ckpt,0.5,1627,1123,69.02274124154886,16456649560834.5
357,cp_1_41.ckpt,0.5,1208,821,67.9635761589404,7082421868.614123
358,cp_1_41.ckpt,0.5,1641,1109,67.5807434491164,8211182862228.35
359,cp_1_41.ckpt,0.5,1701,1137,66.84303350970018,13619910157400.893
360,cp_1_41.ckpt,0.5,1702,1137,66.80376028202114,13483711055826.887
361,cp_1_42.ckpt,0.5,2103,1127,53.590109367570136,161250908416.5128
362,cp_1_42.ckpt,0.5,3052,1602,52.49017038007864,1722924093037018.5
363,cp_1_42.ckpt,0.5,3485,1725,49.49784791965567,2898378557676167.0
364,cp_1_42.ckpt,0.5,3538,1734,49.010740531373656,2430181401051668.5
365,cp_1_43.ckpt,0.5,1894,1096,57.86694825765576,385907808048.719
366,cp_1_43.ckpt,0.5,2645,1522,57.54253308128544,4330913744660173.5
367,cp_1_43.ckpt,0.5,2964,1619,54.6221322537112,8180946100908935.0
